;Bacardi Meyrin;Cordonnier;CHF 14,00;Petit talon femme;Thin heel women;Petit talon femme;Thin heel women;
;Bacardi Meyrin;Cordonnier;CHF 29,00;Semelles en caoutchouc femme;Rubber soles women;Semelles en caoutchouc femme;Rubber soles women;
;Bacardi Meyrin;Cordonnier;CHF 31,00;Semelles en caoutchouc homme;Rubber soles men;Semelles en caoutchouc homme;Rubber soles men;
;Bacardi Meyrin;Cordonnier;CHF 33,00;Semelles (profil) femme;Profile soles women;Semelles (profil) femme;Profile soles women;
;Bacardi Meyrin;Cordonnier;CHF 39,00;Semelles (profil) homme;Profile soles men;Semelles (profil) homme;Profile soles men;
;Bacardi Meyrin;Cordonnier;CHF 39,00;Semelles en cuir femme;Leather soles women;Semelles en cuir femme;Leather soles women;
;Bacardi Meyrin;Cordonnier;CHF 49,00;Semelles en cuir homme;Leather soles men;Semelles en cuir homme;Leather soles for men;
;Bacardi Meyrin;Cordonnier;CHF 22,00;Contreforts Homme;Counter shoes men;Contreforts homme;Counter shoes men;
;Bacardi Meyrin;Cordonnier;CHF 18,00;Semelles intérieures femme;Inner soles women;Semelles intérieures femme;Inner soles women;
;Bacardi Meyrin;Cordonnier;CHF 19,00;Semelles intérieures homme;Inner soles men;Semelles intérieures homme;Inner soles men;
;Bacardi Meyrin;Cordonnier;CHF 18,00;Talon épais femme;Thick heel women;Talon épais femme;Thick heel women;
;Bacardi Meyrin;Cordonnier;CHF 11,00;Mise en forme;Shaping;"Mise en forme, élargissement chaussures
Temps minimum : environ 24 heures";Shaping;
;Bacardi Meyrin;Cordonnier;CHF 8,00;Couture;Sewing;"Dès CHF 8.- en fonction de la longueur de couture.
Sur chaussures cuir, sacs, porte monnaies";From CHF 8.-;
;Bacardi Meyrin;Cordonnier;CHF 14,00;Clés standards;Standard keys;Tarif pour 1 clé uniquement selon le type de clé;Standard keys;
;Bacardi Meyrin;Cordonnier;CHF 24,00;Clés standards (2);Standard keys (2);Tarifs pour deux clés, selon le type de clé;Price for two keys;
;Bacardi Meyrin;Cordonnier;CHF 50,00;Semelles et Talons Caoutchouc;Semelles et Talons Caoutchouc;Réparation des Talons et semelles matière caoutchouc;/;
;Bacardi Meyrin;Cordonnier;CHF 70,00;Semelles et Talons Cuir;Semelles et Talons Cuir;Réparation complète des semelles et talons matière Cuir;/;
;Bacardi Meyrin;Cordonnier;CHF 1,00;DIVERS;DIVERS;DIVERS;/;
;Bacardi Meyrin;Cordonnier;CHF 21,00;Talon homme;Heel men;Talon homme;Heel men;
;Bacardi Meyrin;Cordonnier;CHF 22,00;Talons profilés femme;Contoured heel women;Talons profilés femme;Contoured heel women;
;Bacardi Meyrin;Cordonnier;CHF 23,00;Talons profilés homme;Contoured heel men;Talons profilés homme;Contoured heel men;
;Bacardi Meyrin;Cordonnier;CHF 16,00;Coins des talons femme;Heel wedge women;Coins des talons femme;Heel wedge women;
;Bacardi Meyrin;Cordonnier;CHF 18,00;Coins des talons homme;Heel wedge men;Coins des talons homme;Heel wedge men;
;Bacardi Meyrin;Cordonnier;CHF 16,00;Bouts de semelles femme;Toe tips women;Bouts de semelles femme;Toe tips women;
;Bacardi Meyrin;Cordonnier;CHF 18,00;Bouts de semelles homme;Toe tips men;Bouts de semelles homme;Toe tips men;
;Bacardi Meyrin;Fleurs;CHF 57,00;Orchidée à 2 tiges blanches;Orchid with two white stems;"Une orchidée à 2 tiges blanches.
Présenté dans un cache pot et accessoirisé.";An orchid with two white stems presented in a pot holder with accessories;
